id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,582.88,11637196745,15,11637196745,308655116.0,604.19,576.61,-8.061911261773957,-1.36424,-159207597.06357193,-1.34963,19964212.39665078,19964212.39665078,21000000.0,3785.82,-84.60374,2017-12-20T00:00:00.000Z,76.93,657.6214,2018-12-16T00:00:00.000Z,,2025-12-08T23:02:10.427Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,90793.0,11343595601,16,11343595601,233231140.0,92119.0,89377.0,1351.79,1.51136,149467839.0,1.33523,124963.48883569,124963.48883569,124963.48883569,125932.0,-27.924,2025-10-06T18:55:19.650Z,3139.17,2791.42075,2019-04-02T00:00:00.000Z,,2025-12-08T23:02:18.151Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3398.98,11082084032,17,11082084032,11629693.0,3440.54,3289.33,102.77,3.1178,327307906.0,3.04337,3264465.819136715,3264465.819136715,,5330.78,-36.39951,2025-08-24T19:27:46.809Z,1501.6,125.78584,2025-04-09T03:57:40.245Z,,2025-12-08T23:02:17.614Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,13.81,9620989412,18,13806399972,601632950.0,14.22,13.54,0.215916,1.58809,149224881.0,1.57547,696849970.4525868,1000000000.0,1000000000.0,52.7,-73.80412,2021-05-10T00:13:57.214Z,0.148183,9215.72592,2017-11-29T00:00:00.000Z,,2025-12-08T23:02:11.037Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999627,9530932537,19,9530932537,2547324.0,1.0,0.998364,0.00044231,0.04427,17133555.0,0.18009,9534486273.621143,9534486273.621143,,1.057,-5.45744,2024-10-29T05:40:51.197Z,0.948265,5.4156,2024-10-03T13:19:28.826Z,,2025-12-08T23:02:17.096Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,8985541426,20,8985541426,1198777500.0,1.001,0.998943,0.00012072,0.01207,83876.0,0.00093,8984992892.453934,8984992892.453934,,1.05,-4.76849,2024-08-05T14:21:42.527Z,0.942186,6.12489,2024-12-05T22:30:39.827Z,,2025-12-08T23:02:10.557Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.55,8804969746,21,9409332682,710331.0,9.77,9.44,-0.19959574085855536,-2.04658,-186774358.3088379,-2.07718,921957413.9,985239504.0,,10.14,-5.74215,2025-03-10T09:26:43.294Z,0.799859,1094.35221,2019-12-24T15:14:35.376Z,,2025-12-08T23:02:13.251Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3131.3,8571181971,22,8571381874,119924276.0,3176.67,3033.07,92.4,3.04046,126230454.0,1.49474,2739218.739626749,2739282.625751439,,4950.08,-36.76094,2025-08-24T19:28:11.411Z,82.1,3712.73099,2018-12-15T00:00:00.000Z,,2025-12-08T23:02:18.241Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3392.49,8013142971,23,8013139382,26910123.0,3439.39,3283.87,102.97,3.1301,278700687.0,3.60337,2364492.76223733,2364491.703143813,,5296.78,-36.08658,2025-08-24T19:25:19.771Z,1505.24,124.90529,2025-04-09T03:45:31.391Z,,2025-12-08T23:02:17.781Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,29.52,7991887886,24,29510220454,316397464.0,30.7,28.84,0.287832,0.9848,76027272.0,0.96044,270772999.4341414,999835210.4341414,1000000000.0,59.3,-50.22414,2025-09-18T03:30:30.650Z,3.81,675.03068,2024-11-29T09:30:30.871Z,,2025-12-08T23:02:12.533Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.24197,7827536464,25,12099319723,123869078.0,0.246182,0.235434,0.00616404,2.61403,198864791.0,2.60681,32348166593.97029,50001786883.67145,,0.875563,-72.36713,2018-01-03T00:00:00.000Z,0.00047612,50715.22476,2015-03-05T00:00:00.000Z,,2025-12-08T23:02:16.503Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,373.19,6882855822,26,6882855822,139210351.0,380.77,361.53,9.05,2.4858,153255474.0,2.27733,18446744.07370955,18446744.07370955,,542.33,-31.19674,2018-01-09T00:00:00.000Z,0.216177,172507.72189,2015-01-14T00:00:00.000Z,,2025-12-08T23:02:13.935Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,413.19,6790864762,27,6791022333,1313394801.0,422.73,335.12,78.06,23.29292,1252049905.0,22.60501,16430779.8530448,16431161.1030448,21000000.0,3191.93,-87.05063,2016-10-29T00:00:00.000Z,16.08,2470.46972,2024-07-05T04:22:29.321Z,,2025-12-08T23:02:18.109Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999216,6644973084,28,6644973084,197177780.0,1.001,0.997179,-0.000851977428296902,-0.08519,-49896386.95813656,-0.74529,6650127915.747911,6650127915.747911,,1.032,-3.18293,2023-12-20T15:38:34.596Z,0.929486,7.50367,2024-10-04T07:57:15.809Z,,2025-12-08T23:02:11.648Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,90844.0,6600332072,29,6600332072,483138167.0,92239.0,89535.0,1271.88,1.41996,109608392.0,1.68869,72655.95628406,72655.95628406,,125954.0,-27.89919,2025-10-06T18:58:50.734Z,57439.0,58.10528,2024-09-12T14:07:41.775Z,,2025-12-08T23:02:11.080Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,84.12,6443793350,30,6443819636,503219316.0,84.33,80.81,3.13,3.86902,236098236.0,3.80332,76607489.48347135,76607801.98347135,84000000.0,410.26,-79.5015,2021-05-10T03:13:07.904Z,1.15,7220.16057,2015-01-14T00:00:00.000Z,,2025-12-08T23:02:13.633Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.62,6063085888,31,16225054103,863361268.0,1.65,1.57,0.053589,3.41313,179579120.0,3.05225,3736866360.651109,10000000000.0,10000000000.0,5.35,-69.67587,2025-01-04T22:56:18.063Z,0.364846,344.37887,2023-10-19T10:40:30.078Z,,2025-12-08T23:02:16.746Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,13.68,5872861070,32,6306015939,330324835.0,13.84,13.36,0.288863,2.15762,118492402.0,2.05917,429380142.0520925,461049220.717686,720000000.0,144.96,-90.57464,2021-11-21T14:18:56.538Z,2.8,387.78292,2020-12-31T13:15:21.540Z,,2025-12-08T23:02:09.969Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.135209,5741867748,33,6758906930,148016415.0,0.136839,0.130694,0.00408313,3.11389,171462896.0,3.0781,42476304284.93269,50000000000.0,50000000000.0,0.569229,-76.24925,2021-09-15T10:40:28.318Z,0.00986111,1271.00337,2020-01-02T17:30:24.852Z,,2025-12-08T23:02:12.376Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,8.57e-06,5045519534,34,5047714002,113884055.0,8.59e-06,8.3e-06,2.59039e-07,3.1166,136493950.0,2.78047,589244314253305.4,589500596675624.2,,8.616e-05,-90.07873,2021-10-28T03:54:55.568Z,5.6366e-11,15165053.03552,2020-11-28T11:26:25.838Z,,2025-12-08T23:02:15.890Z
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,1.0,4504640694,35,4504640694,258202748.0,1.001,0.998722,-0.000126069702080844,-0.0126,534076595.0,13.4509,4503581425.529177,4503581425.529177,,1.052,-4.92045,2025-01-23T22:34:53.341Z,0.975737,2.5146,2025-02-28T01:35:58.101Z,,2025-12-08T23:02:17.825Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,4334697851,36,4334697851,84491787.0,1.001,0.998266,0.00035045,0.03505,4482567.0,0.10352,4333319066.121284,4333319066.121284,,1.22,-17.94354,2020-03-13T03:02:50.373Z,0.88196,13.40779,2023-03-11T07:50:50.514Z,,2025-12-08T23:02:11.228Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.082,4251991951,37,4251991951,15986126.0,1.086,1.065,0.00151515,0.14026,43540657.0,1.0346,3930650322.01808,3930650322.01808,,1.11,-2.18069,2025-10-10T21:52:27.019Z,0.961716,12.40024,2025-01-04T01:21:08.460Z,,2025-12-08T23:02:16.344Z
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.150393,4097259108,38,15039233610,109283345.0,0.154447,0.14743,0.00230778,1.55841,63014454.0,1.56199,27243802538.151154,100000000000.0,100000000000.0,0.331336,-54.72556,2025-09-01T12:20:09.597Z,0.104606,43.4056,2025-10-10T21:22:29.880Z,,2025-12-08T23:02:17.770Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.63,3984081025,39,8381117278,118595159.0,1.68,1.61,0.01132234,0.70024,33278022.0,0.84231,2447104098.456611,5147853749.308364,,8.25,-80.29652,2024-06-15T00:36:51.509Z,0.519364,213.12304,2021-09-21T00:33:11.092Z,,2025-12-08T23:02:17.136Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.103285,3857624585,40,10143800706,15579414.0,0.105639,0.102879,0.00034666,0.33677,11737240.0,0.30519,37351910418.25352,98218560898.77516,100000000000.0,0.965407,-89.30145,2021-11-24T15:53:54.855Z,0.0121196,752.21099,2019-02-08T00:00:00.000Z,,2025-12-08T23:02:10.881Z
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,0.999328,3817126847,41,3817126847,123686668.0,1.0,0.998905,-0.001041994805244362,-0.10416,-28310100.25819969,-0.7362,3819883561.323746,3819883561.323746,,1.021,-2.0598,2023-10-23T22:44:57.056Z,0.959426,4.19897,2024-12-05T22:31:13.430Z,,2025-12-08T23:02:14.960Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.21,3630063827,42,3630063827,67306107.0,1.21,1.21,-0.000397737084223637,-0.03291,-33294300.665675163,-0.90885,3004945807.365177,3004945807.365177,,1.29,-6.40302,2025-01-29T17:52:32.991Z,1.012,19.36155,2024-04-03T14:23:03.162Z,,2025-12-08T23:02:11.553Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.1,3582079889,43,6848592915,120708191.0,1.14,1.086,0.01110071,1.01877,30694465.0,0.8643,3252944055.636841,6219316794.89,6219316794.89,2.86,-61.39744,2025-10-09T01:04:46.659Z,0.307978,257.85885,2023-10-18T02:50:46.942Z,,2025-12-08T23:02:13.680Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.63,3543663640,44,5625707902,268939084.0,5.75,5.42,0.188164,3.45826,116349868.0,3.39478,629905374.0113912,1000000000.0,1000000000.0,44.92,-87.49471,2021-05-03T05:25:04.822Z,1.03,445.26212,2020-09-17T01:20:38.214Z,,2025-12-08T23:02:17.463Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2.14,3512735503,45,3512735503,195958202.0,2.17,2.08,0.057952,2.78569,87085836.0,2.54217,1643392626.06672,1643392626.059485,,54.98,-96.11908,2021-11-04T14:10:09.301Z,1.98,7.89242,2025-12-01T15:50:20.422Z,,2025-12-08T23:02:15.239Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,192.1,2910377263,46,3071189886,371199826.0,199.03,185.74,5.94,3.19076,78943085.0,2.7881,15162213.325616477,16000000.0,16000000.0,661.69,-71.00412,2021-05-18T21:19:59.514Z,26.02,637.27769,2020-11-05T09:20:11.928Z,,2025-12-08T23:02:09.427Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,295.56,2837390312,47,6208413902,153482782.0,305.89,274.78,19.58,7.09525,187045839.0,7.05742,9597491.0,21000000.0,21000000.0,757.6,-61.00141,2024-03-07T18:45:36.466Z,30.83,858.33776,2023-05-14T08:57:53.732Z,,2025-12-08T23:02:10.147Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999023,2725507843,48,2725507843,277414216.0,0.999552,0.99854,-0.000128296687269769,-0.01284,624472.0,0.02292,2727973397.16343,2727973397.16343,,1.025,-2.52401,2025-05-12T12:36:39.412Z,0.989633,0.94243,2025-10-01T08:51:32.103Z,,2025-12-08T23:02:17.509Z
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.074775,2685900458,49,2685900458,28025157.0,0.076988,0.062501,0.01217365,19.44618,441438030.0,19.66787,35885954060.98678,35885954060.98678,,0.159483,-52.90431,2025-11-10T09:46:17.203Z,0.059024,27.25245,2025-12-06T10:32:09.784Z,,2025-12-08T23:02:10.544Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,3.56,2489822799,50,3272347439,55446770.0,3.59,3.54,-0.005205589723830339,-0.1461,-226209.40633010864,-0.00908,699992035.9787906,919992035.9787906,2000000000.0,8.45,-57.93139,2024-12-27T11:41:24.992Z,0.0142795,24795.36351,2020-06-25T04:17:05.895Z,,2025-12-08T23:02:10.010Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,111.58,2344030854,51,2344030854,39294295.0,112.65,107.16,4.26,3.96982,92055908.0,4.08779,21000000.0,21000000.0,21000000.0,255.5,-56.3212,2025-08-22T01:50:26.131Z,0.580608,19121.29278,2019-01-14T00:00:00.000Z,,2025-12-08T23:02:14.624Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.75,2249058440,52,2249058498,177824213.0,1.79,1.69,0.053169,3.12486,62016094.0,2.83561,1281999021.0,1281999054.0,,20.44,-91.40998,2022-01-16T22:09:45.873Z,0.526762,233.2885,2020-11-04T16:09:15.137Z,,2025-12-08T23:02:14.092Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.3,2211220791,53,6864657816,17263664.0,1.31,1.23,0.0496283,3.98491,82092718.0,3.8557,1710641138.988308,5310625747.073818,10000000000.0,2.96,-56.15387,2025-09-18T07:27:06.144Z,0.04746135,2633.398,2025-07-04T03:56:17.448Z,,2025-12-08T23:02:13.585Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4199.48,2193067798,54,2193067798,249154913.0,4219.35,4179.33,8.31,0.19818,4133928.0,0.18886,522089.3,522089.3,,4392.88,-4.40226,2025-10-17T05:01:31.881Z,1447.84,190.05217,2020-03-19T13:45:41.821Z,,2025-12-08T23:02:16.663Z
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.999194,2188550477,55,2188550477,258589.0,1.001,0.996606,-2.7733960083376e-05,-0.00278,2177440.0,0.09959,2190314064.758059,2190314064.758059,,1.075,-7.01436,2025-05-08T21:25:42.071Z,0.943422,5.91304,2025-07-08T10:16:34.749Z,,2025-12-08T23:02:11.659Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.273268,2101301057,56,4098433593,244301531.0,0.281449,0.264764,0.00560168,2.09279,36636179.0,1.77444,7690625000.0,15000000000.0,15000000000.0,1.52,-82.00952,2024-04-11T13:15:15.057Z,0.195078,39.96547,2024-09-06T21:04:48.253Z,,2025-12-08T23:02:11.712Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,13.44,2080692578,57,2080692578,55172109.0,13.58,13.03,0.382591,2.92897,49959218.0,2.46016,154640702.5745946,154640702.5745946,210700000.0,167.09,-91.94755,2021-05-06T18:34:22.133Z,0.615038,2087.58226,2016-07-25T00:00:00.000Z,"{'times': 28.87761461038822, 'currency': 'usd', 'percentage': 2887.7614610388223}",2025-12-08T23:02:11.677Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2029279036,58,2029279036,0.0,1.0,1.0,0.0,0.0,721174.0,0.03555,2029279036.130449,2029279036.130449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-12-08T23:00:07.189Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,4.76e-06,2003438827,59,2003438827,488591856.0,5e-06,4.4e-06,3.61586e-07,8.2163,142148711.0,7.63711,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-83.01502,2024-12-09T16:30:35.828Z,5.5142e-08,8533.25382,2023-04-18T02:14:41.591Z,,2025-12-08T23:02:15.088Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.948901,1988377882,60,7513073031,280284296.0,0.979336,0.910202,0.03432118,3.75267,70251152.0,3.66249,2096639672.0,7922139508.973094,8000000000.0,2.41,-60.60118,2025-09-24T11:18:14.634Z,0.099713,851.74042,2025-09-17T12:05:36.771Z,,2025-12-08T23:02:09.649Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3127.68,1892247540,61,1892247540,75610471.0,3170.96,3031.42,88.09,2.89795,57051163.0,3.10872,604999.9999588211,604999.9999588211,,4955.78,-36.96194,2025-08-24T19:14:00.505Z,1394.32,124.05413,2025-04-09T01:32:41.942Z,,2025-12-08T23:02:10.141Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,166.66,1886581246,62,1886581246,24859979.0,173.31,163.35,2.86,1.74808,33496023.0,1.80758,11315309.41631898,11315309.41631898,,339.52,-50.80644,2025-01-19T11:21:54.080Z,0.57898,28747.67895,2023-09-12T10:21:17.665Z,,2025-12-08T23:02:12.932Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,3.42,1853417718,63,1853417718,79951921.0,3.56,3.38,0.02680986,0.78972,13094678.0,0.71154,541640589.129738,541640589.129738,,700.65,-99.51133,2021-05-10T16:05:53.653Z,2.23,53.42832,2025-10-10T21:26:36.019Z,,2025-12-08T23:02:12.908Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.219926,1836529126,64,2825429424,16111529.0,0.224515,0.218033,-0.002520114058850303,-1.13291,-16962880.762463093,-0.91518,8346154501.006946,12840237693.85683,100000000000.0,2.99,-92.61586,2025-02-26T16:41:03.732Z,0.172081,28.20079,2025-10-10T21:25:41.582Z,,2025-12-08T23:02:14.847Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00768887,1826593312,65,8837100614,24788216.0,0.00776753,0.00746497,0.00020657,2.76071,46561736.0,2.61578,237691557728.96173,1149957243840.366,1150000000000.0,0.00823862,-6.80113,2025-11-24T18:21:22.424Z,0.00222126,245.67333,2025-09-14T08:56:57.416Z,,2025-12-08T23:02:15.171Z
pump-fun,pump,Pump.fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,0.00306787,1809915476,66,3067620541,124047670.0,0.00314211,0.00288156,0.00017311,5.98019,97727436.0,5.70775,590000000000.0,999989305450.1863,1000000000000.0,0.00881908,-65.24393,2025-09-14T16:42:40.248Z,0.00228323,34.24723,2025-07-29T11:15:43.983Z,,2025-12-08T23:02:15.321Z
hash-2,hash,Provenance Blockchain,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,0.03315654,1734639500,67,3332599881,66795.0,0.0333288,0.02617783,0.00683473,25.96602,365568002.0,26.70189,52050638004.0,100000000000.0,100000000000.0,0.060147,-44.58772,2025-09-14T16:52:41.627Z,0.00976953,241.15058,2025-12-04T22:25:33.898Z,,2025-12-08T23:02:12.248Z
